Age,Gender,Major,Distance (km),Mode of Transportation,Traffic,Commute Time (min)
28,Male,,12.1,Bus,High,181.5
20,Female,EEE,4,Bus,High,60
21,Female,CSE,10.2,Car,Medium,102
30,Male,Business,7.8,Bus,Medium,93.6
19,Male,EEE,12.9,Car,Low,90.3
26,Female,EEE,11.6,Bus,Medium,139.2
24,Male,Business,7.6,Bus,Low,53.2
18,Female,CSE,9.2,Car,Medium,92
18,Female,Engineering,7.9,Car,High,110.6
20,Female,EEE,9.8,Bus,Medium,117.6
28,Female,CSE,4.9,Bus,Medium,58.8
26,Male,EEE,11.7,Car,Low,81.9
29,Female,CSE,0.6,Walk,Low,6
19,Female,Business,4.9,Car,Low,34.3
22,Male,CSE,6.3,Car,Low,44.1
27,Female,CSE,6.3,Bus,Medium,75.6
23,Male,Business,9.7,Bus,Low,77.6
28,Male,EEE,2.6,Bus,Medium,31.2
22,,EEE,5,Car,High,70
25,Female,CSE,3.4,Car,Low,23.8
29,Female,EEE,9.2,Car,Medium,92
21,Female,CSE,1.4,Walk,Low,14
26,Male,CSE,6,Bus,Medium,72
27,,EEE,8.4,Car,High,117.6
25,Female,EEE,10.1,Bus,Low,80.8
28,Male,CSE,1.6,Walk,Low,16
29,,CSE,6.9,Car,High,96.6
28,Female,CSE,13,Bus,High,195
28,,Business,10.8,Bus,Medium,129.6
27,Male,CSE,7.6,Bus,Medium,91.2
28,Male,EEE,2.8,Car,Low,19.6
19,Female,Engineering,1.8,Rickshaw,Medium,27
19,Female,Business,0.6,Walk,Low,6
26,Female,EEE,4.8,Bus,High,72
28,,Business,13.1,Bus,Low,104.8
21,Female,Engineering,5.8,Bus,Low,46.4
18,Male,CSE,10.6,Car,Medium,106
24,Male,Business,11.5,Car,High,161
24,Male,CSE,1.7,Rickshaw,Low,20.4
20,,EEE,5.1,Bus,Medium,51
23,Male,EEE,5,Bus,Low,35
29,Male,Engineering,8.5,,Low,59.5
21,Male,Business,1.2,Rickshaw,High,21.6
27,Male,Business,10.9,Bus,Low,76.3
25,,Engineering,10.2,Bus,Low,71.4
26,Male,Business,3.3,Bus,Low,23.1
25,Male,Business,5.3,Bus,Low,42.4
22,Male,Business,7.7,Car,High,107.8
24,Male,CSE,7.4,,Low,59.2
24,Female,EEE,13.2,Car,High,184.8
27,Male,Business,14.9,Bus,Medium,178.8
24,Male,CSE,10.5,Car,Low,73.5
20,Male,CSE,1.1,Rickshaw,Medium,16.5
23,,EEE,11,Car,Low,77
18,Male,EEE,1.3,Walk,Low,13
27,,Business,1.5,Rickshaw,High,27
25,Female,Business,2.3,Bus,High,34.5
29,Male,CSE,6.5,Car,Medium,65
20,Male,EEE,8.3,Bus,Medium,99.6
25,Female,Engineering,6.7,,High,100.5
27,,CSE,10.6,Car,Medium,106
21,Female,Engineering,10,Car,Medium,100
28,Male,Engineering,1.4,Walk,Low,14
18,Male,Business,1.8,Walk,Low,18
20,Female,CSE,4.3,Bus,High,64.5
27,Male,Business,5,Bus,Low,35
26,Female,Engineering,6.8,Bus,High,95.2
18,Male,CSE,11.9,Bus,Low,95.2
24,Male,Engineering,11.8,Car,High,165.2
25,Male,Engineering,7.7,,High,115.5
29,Female,CSE,13,Bus,High,195
19,Female,EEE,8.5,Car,High,119
21,Female,CSE,12.5,Bus,Medium,150
